date,variety_code,stems
12/26/2022,AT11,3700
12/27/2022,AT11,3500
12/28/2022,AT11,3350
12/29/2022,AT11,3200
12/30/2022,AT11,3470
12/31/2022,AT11,2750
1/1/2023,AT11,2790
1/2/2023,AT11,2430
1/3/2023,AT11,3920
1/4/2023,AT11,2500
1/5/2023,AT11,1890
1/6/2023,AT11,1800
1/7/2023,AT11,2790
1/8/2023,AT11,2150
1/9/2023,AT11,2900
1/10/2023,AT11,1900
1/11/2023,AT11,1750
1/12/2023,AT11,1650
1/13/2023,AT11,2250
1/14/2023,AT11,1950
1/15/2023,AT11,2400
1/16/2023,AT11,2600
1/17/2023,AT11,2100
1/18/2023,AT11,2500
1/19/2023,AT11,2100
1/20/2023,AT11,2950
1/21/2023,AT11,2800
1/22/2023,AT11,2700
1/23/2023,AT11,2200
1/24/2023,AT11,2400
1/25/2023,AT11,2950
1/26/2023,AT11,2400
1/27/2023,AT11,2200
1/28/2023,AT11,3200
1/29/2023,AT11,3550
1/30/2023,AT11,4930
1/31/2023,AT11,3400
2/1/2023,AT11,3550
2/2/2023,AT11,6800
2/3/2023,AT11,4300
2/4/2023,AT11,3300
2/5/2023,AT11,3600
2/6/2023,AT11,4100
2/7/2023,AT11,4300
2/8/2023,AT11,4150
2/9/2023,AT11,3000
2/10/2023,AT11,2750
2/11/2023,AT11,3000
2/12/2023,AT11,3000
2/13/2023,AT11,2950
2/14/2023,AT11,2900
2/15/2023,AT11,3050
2/16/2023,AT11,3950
2/17/2023,AT11,1600
2/18/2023,AT11,4250
2/19/2023,AT11,2750
2/20/2023,AT11,2650
2/21/2023,AT11,2700
2/22/2023,AT11,2150
2/23/2023,AT11,2700
2/24/2023,AT11,1700
2/25/2023,AT11,3550
2/26/2023,AT11,4310
2/27/2023,AT11,5400
2/28/2023,AT11,4000
3/1/2023,AT11,3200
3/2/2023,AT11,3550
3/3/2023,AT11,2400
3/4/2023,AT11,4800
3/5/2023,AT11,3000
3/6/2023,AT11,3950
3/7/2023,AT11,3900
3/8/2023,AT11,2900
3/9/2023,AT11,4500
3/10/2023,AT11,5100
3/11/2023,AT11,3700
3/12/2023,AT11,3200
3/13/2023,AT11,4100
3/14/2023,AT11,4000
3/15/2023,AT11,3100
3/16/2023,AT11,2500
3/17/2023,AT11,1800
3/18/2023,AT11,2500
3/19/2023,AT11,3500
3/20/2023,AT11,3800
3/21/2023,AT11,2600
3/22/2023,AT11,2800
3/23/2023,AT11,3000
3/24/2023,AT11,4300
3/25/2023,AT11,4300
3/26/2023,AT11,3100
3/27/2023,AT11,4700
3/28/2023,AT11,3750
3/29/2023,AT11,3200
3/30/2023,AT11,5100
3/31/2023,AT11,5600
4/1/2023,AT11,4600
4/2/2023,AT11,3400
4/3/2023,AT11,4200
4/4/2023,AT11,2700
4/5/2023,AT11,3900
4/6/2023,AT11,3500
4/7/2023,AT11,3450
4/8/2023,AT11,5000
4/9/2023,AT11,2800
4/10/2023,AT11,3800
4/11/2023,AT11,4900
4/12/2023,AT11,3400
4/13/2023,AT11,5100
4/14/2023,AT11,4700
4/15/2023,AT11,3600
4/16/2023,AT11,5100
4/17/2023,AT11,3550
4/18/2023,AT11,3300
4/19/2023,AT11,4050
4/20/2023,AT11,3600
4/21/2023,AT11,3400
4/22/2023,AT11,3300
4/23/2023,AT11,3400
4/24/2023,AT11,3300
4/25/2023,AT11,3900
4/26/2023,AT11,5250
4/27/2023,AT11,1600
4/28/2023,AT11,4100
4/29/2023,AT11,3400
4/30/2023,AT11,3000
5/1/2023,AT11,3200
5/2/2023,AT11,2000
5/3/2023,AT11,3800
5/4/2023,AT11,1800
5/5/2023,AT11,2400
5/6/2023,AT11,2800
5/7/2023,AT11,3100
5/8/2023,AT11,3000
5/9/2023,AT11,3400
5/10/2023,AT11,4200
5/11/2023,AT11,3200
5/12/2023,AT11,3300
5/13/2023,AT11,3250
5/14/2023,AT11,3100
5/15/2023,AT11,3800
5/16/2023,AT11,5300
5/17/2023,AT11,4400
5/18/2023,AT11,3200
5/19/2023,AT11,4000
5/20/2023,AT11,2800
5/21/2023,AT11,3900
5/22/2023,AT11,4100
5/23/2023,AT11,4300
5/24/2023,AT11,2800
5/25/2023,AT11,3600
5/26/2023,AT11,5125
5/27/2023,AT11,3750
5/28/2023,AT11,3000
5/29/2023,AT11,4000
5/30/2023,AT11,4300
5/31/2023,AT11,3600
6/1/2023,AT11,3500
6/2/2023,AT11,3300
6/3/2023,AT11,3400
6/4/2023,AT11,2900
6/5/2023,AT11,3350
6/6/2023,AT11,3050
6/7/2023,AT11,3950
6/8/2023,AT11,2150
6/9/2023,AT11,3900
6/10/2023,AT11,3060
6/11/2023,AT11,3150
6/12/2023,AT11,3420
6/13/2023,AT11,2520
6/14/2023,AT11,3090
6/15/2023,AT11,2400
6/16/2023,AT11,3500
6/17/2023,AT11,3600
6/18/2023,AT11,2650
6/19/2023,AT11,3200
6/20/2023,AT11,0
6/21/2023,AT11,0
6/22/2023,AT11,0
6/23/2023,AT11,0
6/24/2023,AT11,0
6/25/2023,AT11,0
6/26/2023,AT11,0
6/27/2023,AT11,0
6/28/2023,AT11,0
6/29/2023,AT11,0
6/30/2023,AT11,0
7/1/2022,AT31,
7/2/2022,AT31,
7/3/2022,AT31,
7/4/2022,AT31,
7/5/2022,AT31,
7/6/2022,AT31,
7/7/2022,AT31,
7/8/2022,AT31,
7/9/2022,AT31,
7/10/2022,AT31,
7/11/2022,AT31,
7/12/2022,AT31,
7/13/2022,AT31,
7/14/2022,AT31,
7/15/2022,AT31,
7/16/2022,AT31,
7/17/2022,AT31,
7/18/2022,AT31,
7/19/2022,AT31,
7/20/2022,AT31,
7/21/2022,AT31,
7/22/2022,AT31,
7/23/2022,AT31,
7/24/2022,AT31,
7/25/2022,AT31,
7/26/2022,AT31,
7/27/2022,AT31,
7/28/2022,AT31,
7/29/2022,AT31,
7/30/2022,AT31,
7/31/2022,AT31,
8/1/2022,AT31,
8/2/2022,AT31,
8/3/2022,AT31,
8/4/2022,AT31,
8/5/2022,AT31,
8/6/2022,AT31,
8/7/2022,AT31,
8/8/2022,AT31,
8/9/2022,AT31,
8/10/2022,AT31,
8/11/2022,AT31,
8/12/2022,AT31,
8/13/2022,AT31,
8/14/2022,AT31,
8/15/2022,AT31,
8/16/2022,AT31,
8/17/2022,AT31,
8/18/2022,AT31,
8/19/2022,AT31,
8/20/2022,AT31,
8/21/2022,AT31,
8/22/2022,AT31,
8/23/2022,AT31,
8/24/2022,AT31,
8/25/2022,AT31,
8/26/2022,AT31,
8/27/2022,AT31,
8/28/2022,AT31,
8/29/2022,AT31,
8/30/2022,AT31,
8/31/2022,AT31,
9/1/2022,AT31,
9/2/2022,AT31,
9/3/2022,AT31,
9/4/2022,AT31,
9/5/2022,AT31,
9/6/2022,AT31,
9/7/2022,AT31,
9/8/2022,AT31,
9/9/2022,AT31,
9/10/2022,AT31,
9/11/2022,AT31,
9/12/2022,AT31,
9/13/2022,AT31,
9/14/2022,AT31,
9/15/2022,AT31,
9/16/2022,AT31,
9/17/2022,AT31,
9/18/2022,AT31,
9/19/2022,AT31,
9/20/2022,AT31,
9/21/2022,AT31,
9/22/2022,AT31,
9/23/2022,AT31,
9/24/2022,AT31,
9/25/2022,AT31,
9/26/2022,AT31,
9/27/2022,AT31,
9/28/2022,AT31,
9/29/2022,AT31,
9/30/2022,AT31,
10/1/2022,AT31,
10/2/2022,AT31,
10/3/2022,AT31,
10/4/2022,AT31,
10/5/2022,AT31,
10/6/2022,AT31,
10/7/2022,AT31,
10/8/2022,AT31,
10/9/2022,AT31,
10/10/2022,AT31,
10/11/2022,AT31,
10/12/2022,AT31,
10/13/2022,AT31,
10/14/2022,AT31,
10/15/2022,AT31,
10/16/2022,AT31,
10/17/2022,AT31,
10/18/2022,AT31,
10/19/2022,AT31,
10/20/2022,AT31,
10/21/2022,AT31,
10/22/2022,AT31,
10/23/2022,AT31,
10/24/2022,AT31,
10/25/2022,AT31,
10/26/2022,AT31,
10/27/2022,AT31,
10/28/2022,AT31,
10/29/2022,AT31,
10/30/2022,AT31,
10/31/2022,AT31,
11/1/2022,AT31,
11/2/2022,AT31,
11/3/2022,AT31,
11/4/2022,AT31,
11/5/2022,AT31,
11/6/2022,AT31,
11/7/2022,AT31,
11/8/2022,AT31,
11/9/2022,AT31,
11/10/2022,AT31,
11/11/2022,AT31,
11/12/2022,AT31,
11/13/2022,AT31,
11/14/2022,AT31,
11/15/2022,AT31,
11/16/2022,AT31,
11/17/2022,AT31,
11/18/2022,AT31,
11/19/2022,AT31,
11/20/2022,AT31,
11/21/2022,AT31,
11/22/2022,AT31,
11/23/2022,AT31,
11/24/2022,AT31,
11/25/2022,AT31,
11/26/2022,AT31,
11/27/2022,AT31,
11/28/2022,AT31,
11/29/2022,AT31,
11/30/2022,AT31,
12/1/2022,AT31,
12/2/2022,AT31,
12/3/2022,AT31,
12/4/2022,AT31,
12/5/2022,AT31,
12/6/2022,AT31,
12/7/2022,AT31,
12/8/2022,AT31,
12/9/2022,AT31,
12/10/2022,AT31,
12/11/2022,AT31,
12/12/2022,AT31,
12/13/2022,AT31,
12/14/2022,AT31,
12/15/2022,AT31,
12/16/2022,AT31,
12/17/2022,AT31,
12/18/2022,AT31,
12/19/2022,AT31,
12/20/2022,AT31,
12/21/2022,AT31,
12/22/2022,AT31,
12/23/2022,AT31,
12/24/2022,AT31,
12/25/2022,AT31,
12/26/2022,AT31,
12/27/2022,AT31,
12/28/2022,AT31,
12/29/2022,AT31,
12/30/2022,AT31,
12/31/2022,AT31,
1/1/2023,AT31,
1/2/2023,AT31,
1/3/2023,AT31,
1/4/2023,AT31,
1/5/2023,AT31,
1/6/2023,AT31,
1/7/2023,AT31,
1/8/2023,AT31,
1/9/2023,AT31,
1/10/2023,AT31,
1/11/2023,AT31,
1/12/2023,AT31,
1/13/2023,AT31,
1/14/2023,AT31,
1/15/2023,AT31,
1/16/2023,AT31,
1/17/2023,AT31,
1/18/2023,AT31,
1/19/2023,AT31,
1/20/2023,AT31,
1/21/2023,AT31,
1/22/2023,AT31,
1/23/2023,AT31,
1/24/2023,AT31,
1/25/2023,AT31,
1/26/2023,AT31,
1/27/2023,AT31,
1/28/2023,AT31,
1/29/2023,AT31,
1/30/2023,AT31,
1/31/2023,AT31,
2/1/2023,AT31,
2/2/2023,AT31,
2/3/2023,AT31,
2/4/2023,AT31,
2/5/2023,AT31,
2/6/2023,AT31,
2/7/2023,AT31,
2/8/2023,AT31,
2/9/2023,AT31,
2/10/2023,AT31,
2/11/2023,AT31,
2/12/2023,AT31,
2/13/2023,AT31,
2/14/2023,AT31,
2/15/2023,AT31,
2/16/2023,AT31,
2/17/2023,AT31,
2/18/2023,AT31,
2/19/2023,AT31,
2/20/2023,AT31,
2/21/2023,AT31,
2/22/2023,AT31,
2/23/2023,AT31,
2/24/2023,AT31,
2/25/2023,AT31,
2/26/2023,AT31,
2/27/2023,AT31,
2/28/2023,AT31,
3/1/2023,AT31,
3/2/2023,AT31,
3/3/2023,AT31,
3/4/2023,AT31,
3/5/2023,AT31,
3/6/2023,AT31,
3/7/2023,AT31,
3/8/2023,AT31,
3/9/2023,AT31,
3/10/2023,AT31,
3/11/2023,AT31,
3/12/2023,AT31,
3/13/2023,AT31,
3/14/2023,AT31,
3/15/2023,AT31,
3/16/2023,AT31,
3/17/2023,AT31,
3/18/2023,AT31,
3/19/2023,AT31,
3/20/2023,AT31,
3/21/2023,AT31,
3/22/2023,AT31,
3/23/2023,AT31,
3/24/2023,AT31,
3/25/2023,AT31,
3/26/2023,AT31,
3/27/2023,AT31,
3/28/2023,AT31,
3/29/2023,AT31,
3/30/2023,AT31,
3/31/2023,AT31,
4/1/2023,AT31,
4/2/2023,AT31,
4/3/2023,AT31,
4/4/2023,AT31,
4/5/2023,AT31,
4/6/2023,AT31,
4/7/2023,AT31,
4/8/2023,AT31,
4/9/2023,AT31,
4/10/2023,AT31,
4/11/2023,AT31,
4/12/2023,AT31,
4/13/2023,AT31,
4/14/2023,AT31,
4/15/2023,AT31,
4/16/2023,AT31,
4/17/2023,AT31,
4/18/2023,AT31,
4/19/2023,AT31,
4/20/2023,AT31,
4/21/2023,AT31,
4/22/2023,AT31,
4/23/2023,AT31,
4/24/2023,AT31,
4/25/2023,AT31,
4/26/2023,AT31,
4/27/2023,AT31,
4/28/2023,AT31,
4/29/2023,AT31,
4/30/2023,AT31,
5/1/2023,AT31,
5/2/2023,AT31,
5/3/2023,AT31,
5/4/2023,AT31,
5/5/2023,AT31,
5/6/2023,AT31,
5/7/2023,AT31,
5/8/2023,AT31,
5/9/2023,AT31,
5/10/2023,AT31,
5/11/2023,AT31,
5/12/2023,AT31,
5/13/2023,AT31,
5/14/2023,AT31,
5/15/2023,AT31,
5/16/2023,AT31,
5/17/2023,AT31,
5/18/2023,AT31,
5/19/2023,AT31,
5/20/2023,AT31,
5/21/2023,AT31,
5/22/2023,AT31,
5/23/2023,AT31,
5/24/2023,AT31,
5/25/2023,AT31,
5/26/2023,AT31,
5/27/2023,AT31,
5/28/2023,AT31,
5/29/2023,AT31,
5/30/2023,AT31,
5/31/2023,AT31,
6/1/2023,AT31,
6/2/2023,AT31,
6/3/2023,AT31,
6/4/2023,AT31,
6/5/2023,AT31,
6/6/2023,AT31,
6/7/2023,AT31,
6/8/2023,AT31,
6/9/2023,AT31,
6/10/2023,AT31,
6/11/2023,AT31,
6/12/2023,AT31,
6/13/2023,AT31,
6/14/2023,AT31,
6/15/2023,AT31,
6/16/2023,AT31,
6/17/2023,AT31,
6/18/2023,AT31,
6/19/2023,AT31,
6/20/2023,AT31,
6/21/2023,AT31,
6/22/2023,AT31,
6/23/2023,AT31,
6/24/2023,AT31,
6/25/2023,AT31,
6/26/2023,AT31,
6/27/2023,AT31,
6/28/2023,AT31,
6/29/2023,AT31,
6/30/2023,AT31,
7/1/2022,AT32,
7/2/2022,AT32,
7/3/2022,AT32,
7/4/2022,AT32,
7/5/2022,AT32,
7/6/2022,AT32,
7/7/2022,AT32,
7/8/2022,AT32,
7/9/2022,AT32,
7/10/2022,AT32,
7/11/2022,AT32,
7/12/2022,AT32,
7/13/2022,AT32,
7/14/2022,AT32,
7/15/2022,AT32,
7/16/2022,AT32,
7/17/2022,AT32,
7/18/2022,AT32,
7/19/2022,AT32,
7/20/2022,AT32,
7/21/2022,AT32,
7/22/2022,AT32,
7/23/2022,AT32,
7/24/2022,AT32,
7/25/2022,AT32,
7/26/2022,AT32,
7/27/2022,AT32,
7/28/2022,AT32,
7/29/2022,AT32,
7/30/2022,AT32,
7/31/2022,AT32,
8/1/2022,AT32,
8/2/2022,AT32,
8/3/2022,AT32,
8/4/2022,AT32,
8/5/2022,AT32,
8/6/2022,AT32,
8/7/2022,AT32,
8/8/2022,AT32,
8/9/2022,AT32,
8/10/2022,AT32,
8/11/2022,AT32,
8/12/2022,AT32,
8/13/2022,AT32,
8/14/2022,AT32,
8/15/2022,AT32,
8/16/2022,AT32,
8/17/2022,AT32,
8/18/2022,AT32,
8/19/2022,AT32,
8/20/2022,AT32,
8/21/2022,AT32,
8/22/2022,AT32,
8/23/2022,AT32,
8/24/2022,AT32,
8/25/2022,AT32,
8/26/2022,AT32,
8/27/2022,AT32,
8/28/2022,AT32,
8/29/2022,AT32,
8/30/2022,AT32,
8/31/2022,AT32,
9/1/2022,AT32,
9/2/2022,AT32,
9/3/2022,AT32,
9/4/2022,AT32,
9/5/2022,AT32,
9/6/2022,AT32,
9/7/2022,AT32,
9/8/2022,AT32,
9/9/2022,AT32,
9/10/2022,AT32,
9/11/2022,AT32,
9/12/2022,AT32,
9/13/2022,AT32,
9/14/2022,AT32,
9/15/2022,AT32,
9/16/2022,AT32,
9/17/2022,AT32,
9/18/2022,AT32,
9/19/2022,AT32,
9/20/2022,AT32,
9/21/2022,AT32,
9/22/2022,AT32,
9/23/2022,AT32,
9/24/2022,AT32,
9/25/2022,AT32,
9/26/2022,AT32,
9/27/2022,AT32,
9/28/2022,AT32,
9/29/2022,AT32,
9/30/2022,AT32,
10/1/2022,AT32,
10/2/2022,AT32,
10/3/2022,AT32,
10/4/2022,AT32,
10/5/2022,AT32,
10/6/2022,AT32,
10/7/2022,AT32,
10/8/2022,AT32,
10/9/2022,AT32,
10/10/2022,AT32,
10/11/2022,AT32,
10/12/2022,AT32,
10/13/2022,AT32,
10/14/2022,AT32,
10/15/2022,AT32,
10/16/2022,AT32,
10/17/2022,AT32,
10/18/2022,AT32,
10/19/2022,AT32,
10/20/2022,AT32,
10/21/2022,AT32,
10/22/2022,AT32,
10/23/2022,AT32,
10/24/2022,AT32,
10/25/2022,AT32,
10/26/2022,AT32,
10/27/2022,AT32,
10/28/2022,AT32,
10/29/2022,AT32,
10/30/2022,AT32,
10/31/2022,AT32,
11/1/2022,AT32,
11/2/2022,AT32,
11/3/2022,AT32,
11/4/2022,AT32,
11/5/2022,AT32,
11/6/2022,AT32,
11/7/2022,AT32,
11/8/2022,AT32,
11/9/2022,AT32,
11/10/2022,AT32,
11/11/2022,AT32,
11/12/2022,AT32,
11/13/2022,AT32,
11/14/2022,AT32,
11/15/2022,AT32,
11/16/2022,AT32,
11/17/2022,AT32,
11/18/2022,AT32,
11/19/2022,AT32,
11/20/2022,AT32,
11/21/2022,AT32,
11/22/2022,AT32,
11/23/2022,AT32,
11/24/2022,AT32,
11/25/2022,AT32,
11/26/2022,AT32,
11/27/2022,AT32,
11/28/2022,AT32,
11/29/2022,AT32,
11/30/2022,AT32,
12/1/2022,AT32,
12/2/2022,AT32,
12/3/2022,AT32,
12/4/2022,AT32,
12/5/2022,AT32,
12/6/2022,AT32,
12/7/2022,AT32,
12/8/2022,AT32,
12/9/2022,AT32,
12/10/2022,AT32,
12/11/2022,AT32,
12/12/2022,AT32,
12/13/2022,AT32,
12/14/2022,AT32,
12/15/2022,AT32,
12/16/2022,AT32,
12/17/2022,AT32,
12/18/2022,AT32,
12/19/2022,AT32,
12/20/2022,AT32,
12/21/2022,AT32,
12/22/2022,AT32,
12/23/2022,AT32,
12/24/2022,AT32,
12/25/2022,AT32,
12/26/2022,AT32,
12/27/2022,AT32,
12/28/2022,AT32,
12/29/2022,AT32,
12/30/2022,AT32,
12/31/2022,AT32,
1/1/2023,AT32,
1/2/2023,AT32,
1/3/2023,AT32,
1/4/2023,AT32,
1/5/2023,AT32,
1/6/2023,AT32,
1/7/2023,AT32,
1/8/2023,AT32,
1/9/2023,AT32,
1/10/2023,AT32,
1/11/2023,AT32,
1/12/2023,AT32,
1/13/2023,AT32,
1/14/2023,AT32,
1/15/2023,AT32,
1/16/2023,AT32,
1/17/2023,AT32,
1/18/2023,AT32,
1/19/2023,AT32,
1/20/2023,AT32,
1/21/2023,AT32,
1/22/2023,AT32,
1/23/2023,AT32,
1/24/2023,AT32,
1/25/2023,AT32,
1/26/2023,AT32,
1/27/2023,AT32,
1/28/2023,AT32,
1/29/2023,AT32,
1/30/2023,AT32,
1/31/2023,AT32,
2/1/2023,AT32,
2/2/2023,AT32,
2/3/2023,AT32,
2/4/2023,AT32,
2/5/2023,AT32,
2/6/2023,AT32,
2/7/2023,AT32,
2/8/2023,AT32,
2/9/2023,AT32,
2/10/2023,AT32,
2/11/2023,AT32,
2/12/2023,AT32,
2/13/2023,AT32,
2/14/2023,AT32,
2/15/2023,AT32,
2/16/2023,AT32,
2/17/2023,AT32,
2/18/2023,AT32,
2/19/2023,AT32,
2/20/2023,AT32,
2/21/2023,AT32,
2/22/2023,AT32,
2/23/2023,AT32,
2/24/2023,AT32,
2/25/2023,AT32,
2/26/2023,AT32,
2/27/2023,AT32,
2/28/2023,AT32,
3/1/2023,AT32,
3/2/2023,AT32,
3/3/2023,AT32,
3/4/2023,AT32,
3/5/2023,AT32,
3/6/2023,AT32,
3/7/2023,AT32,
3/8/2023,AT32,
3/9/2023,AT32,
3/10/2023,AT32,
3/11/2023,AT32,
3/12/2023,AT32,
3/13/2023,AT32,
3/14/2023,AT32,
3/15/2023,AT32,
3/16/2023,AT32,
3/17/2023,AT32,
3/18/2023,AT32,
3/19/2023,AT32,
3/20/2023,AT32,
3/21/2023,AT32,
3/22/2023,AT32,
3/23/2023,AT32,
3/24/2023,AT32,
3/25/2023,AT32,
3/26/2023,AT32,
3/27/2023,AT32,
3/28/2023,AT32,
3/29/2023,AT32,
3/30/2023,AT32,
3/31/2023,AT32,
4/1/2023,AT32,
4/2/2023,AT32,
4/3/2023,AT32,
4/4/2023,AT32,
4/5/2023,AT32,
4/6/2023,AT32,
4/7/2023,AT32,
4/8/2023,AT32,
4/9/2023,AT32,
4/10/2023,AT32,
4/11/2023,AT32,
4/12/2023,AT32,
4/13/2023,AT32,
4/14/2023,AT32,
4/15/2023,AT32,
4/16/2023,AT32,
4/17/2023,AT32,
4/18/2023,AT32,
4/19/2023,AT32,
4/20/2023,AT32,
4/21/2023,AT32,
4/22/2023,AT32,
4/23/2023,AT32,
4/24/2023,AT32,
4/25/2023,AT32,
4/26/2023,AT32,
4/27/2023,AT32,
4/28/2023,AT32,
4/29/2023,AT32,
4/30/2023,AT32,
5/1/2023,AT32,
5/2/2023,AT32,
5/3/2023,AT32,
5/4/2023,AT32,
5/5/2023,AT32,
5/6/2023,AT32,
5/7/2023,AT32,
5/8/2023,AT32,
5/9/2023,AT32,
5/10/2023,AT32,
5/11/2023,AT32,
5/12/2023,AT32,
5/13/2023,AT32,
5/14/2023,AT32,
5/15/2023,AT32,
5/16/2023,AT32,
5/17/2023,AT32,
5/18/2023,AT32,
5/19/2023,AT32,
5/20/2023,AT32,
5/21/2023,AT32,
5/22/2023,AT32,
5/23/2023,AT32,
5/24/2023,AT32,
5/25/2023,AT32,
5/26/2023,AT32,
5/27/2023,AT32,
5/28/2023,AT32,
5/29/2023,AT32,
5/30/2023,AT32,
5/31/2023,AT32,
6/1/2023,AT32,
6/2/2023,AT32,
6/3/2023,AT32,
6/4/2023,AT32,
6/5/2023,AT32,
6/6/2023,AT32,
6/7/2023,AT32,
6/8/2023,AT32,
6/9/2023,AT32,
6/10/2023,AT32,
6/11/2023,AT32,
6/12/2023,AT32,
6/13/2023,AT32,
6/14/2023,AT32,
6/15/2023,AT32,
6/16/2023,AT32,
6/17/2023,AT32,
6/18/2023,AT32,
6/19/2023,AT32,
6/20/2023,AT32,
6/21/2023,AT32,
6/22/2023,AT32,
6/23/2023,AT32,
6/24/2023,AT32,
6/25/2023,AT32,
6/26/2023,AT32,
6/27/2023,AT32,
6/28/2023,AT32,
6/29/2023,AT32,
6/30/2023,AT32,
7/1/2022,AT61,
7/2/2022,AT61,
7/3/2022,AT61,
7/4/2022,AT61,
7/5/2022,AT61,
7/6/2022,AT61,
7/7/2022,AT61,
7/8/2022,AT61,
7/9/2022,AT61,
7/10/2022,AT61,
